Order_Date,Ship_Date,Units_Sold,Unit_Price,Unit_Cost
7/20/10,8/17/10,9217,437.2,263.33
9/18/14,7/11/14,2127,255.28,159.42
11/7/15,8/22/15,1327,205.7,117.11
11/9/16,6/10/16,9322,651.21,524.96
10/6/15,7/15/15,647,152.58,97.44
10/24/13,6/12/13,6871,9.33,6.92
10/12/14,1/14/15,1592,437.2,263.33
8/28/11,2/10/11,5439,421.89,364.69
12/29/12,1/28/13,1075,421.89,364.69
2/18/10,6/4/10,8190,47.45,31.79
6/16/10,8/7/10,8510,47.45,31.79
1/20/11,2/23/11,788,205.7,117.11
1/29/10,2/21/10,5811,154.06,90.93
7/16/10,2/8/10,1397,437.2,263.33
3/7/16,12/7/16,7393,421.89,364.69
7/3/14,5/4/14,680,154.06,90.93
7/21/13,10/8/13,169,668.27,502.54
4/26/14,10/5/14,1803,154.06,90.93
3/25/17,3/31/17,3554,255.28,159.42
2/10/12,10/31/12,428,81.73,56.67
2/20/15,3/22/15,9462,421.89,364.69
10/3/13,4/23/13,4721,421.89,364.69
3/12/11,12/22/11,2306,152.58,97.44
8/21/13,1/10/13,5345,255.28,159.42
2/13/14,2/23/14,9000,9.33,6.92
5/1/14,1/20/14,5464,47.45,31.79
7/1/15,1/13/15,8960,205.7,117.11
2/13/16,7/3/16,742,152.58,97.44
5/13/17,1/6/17,4098,205.7,117.11
1/30/16,5/3/16,9344,47.45,31.79
8/29/10,9/23/10,8829,255.28,159.42
2/12/11,4/1/12,1933,9.33,6.92
2/8/16,8/15/16,68,437.2,263.33
10/2/11,2/22/11,1674,81.73,56.67
4/14/13,5/19/13,7227,152.58,97.44
6/20/15,7/19/15,4230,421.89,364.69
1/29/11,1/31/11,2221,109.28,35.84
7/16/13,7/19/13,7766,437.2,263.33
12/8/14,9/23/14,9464,109.28,35.84
11/30/10,12/17/10,2946,109.28,35.84
11/4/15,5/24/15,5871,205.7,117.11
1/30/15,2/16/15,2933,47.45,31.79
5/12/13,9/12/13,855,255.28,159.42
10/9/12,9/18/12,3392,9.33,6.92
4/27/13,8/6/13,6330,154.06,90.93
10/1/15,1/20/15,2487,205.7,117.11
11/7/10,11/8/10,6711,152.58,97.44
10/7/12,7/17/12,882,154.06,90.93
1/29/12,7/2/12,8911,152.58,97.44
1/9/12,10/14/12,1741,109.28,35.84
7/4/11,5/5/11,2345,651.21,524.96
7/4/17,1/5/17,728,255.28,159.42
2/11/10,3/11/10,8926,81.73,56.67
12/11/14,2/12/14,6007,154.06,90.93
9/6/15,6/13/15,3069,255.28,159.42
1/23/11,6/2/11,8242,668.27,502.54
6/17/16,7/13/16,1687,255.28,159.42
4/5/13,5/5/13,597,152.58,97.44
5/10/14,10/22/14,4196,109.28,35.84
5/12/15,12/1/16,8737,651.21,524.96
3/2/13,3/17/13,2508,9.33,6.92
12/13/14,1/27/15,825,668.27,502.54
6/2/16,2/3/16,1038,255.28,159.42
12/31/15,2/1/16,7526,81.73,56.67
4/3/15,10/3/15,6700,421.89,364.69
5/31/11,6/6/11,2003,47.45,31.79
2/3/11,7/4/11,8908,152.58,97.44
7/28/10,11/8/10,9920,9.33,6.92
5/30/14,6/26/14,9576,255.28,159.42
3/3/17,4/18/17,9442,47.45,31.79
5/26/14,5/31/14,3118,81.73,56.67
1/29/14,2/3/14,1233,152.58,97.44
6/2/10,2/17/10,6449,255.28,159.42
11/5/16,5/30/16,8457,109.28,35.84
8/7/17,8/22/17,8981,651.21,524.96
1/9/10,9/15/10,6777,154.06,90.93
5/9/16,9/23/16,2630,668.27,502.54
6/11/15,12/12/15,4358,109.28,35.84
3/27/12,5/4/12,1810,421.89,364.69
8/10/14,10/25/14,1865,205.7,117.11
9/20/10,9/24/10,3434,9.33,6.92
3/12/14,6/12/14,2460,205.7,117.11
12/27/12,3/1/13,6916,205.7,117.11
7/14/10,7/14/10,1808,9.33,6.92
3/24/14,4/22/14,4171,255.28,159.42
11/15/12,12/14/12,8073,47.45,31.79
1/7/11,8/17/11,9613,421.89,364.69
5/23/12,12/6/12,1920,205.7,117.11
6/5/11,6/24/11,155,255.28,159.42
7/26/16,8/15/16,6512,81.73,56.67
8/16/14,9/21/14,5213,152.58,97.44
1/24/12,2/28/12,7513,152.58,97.44
6/7/16,7/27/16,6699,668.27,502.54
2/23/10,3/31/10,3087,9.33,6.92
1/30/14,3/3/14,9027,154.06,90.93
5/30/16,2/6/16,3899,109.28,35.84
11/14/13,11/19/13,9113,205.7,117.11
8/15/15,9/17/15,3112,205.7,117.11
9/26/16,8/11/16,6370,437.2,263.33
2/24/17,3/28/17,6391,47.45,31.79
4/14/10,4/22/10,2712,421.89,364.69
2/17/17,9/3/17,1900,651.21,524.96
4/22/14,5/19/14,2553,109.28,35.84
7/29/13,8/27/13,302,668.27,502.54
8/13/12,9/20/12,2807,437.2,263.33
12/20/13,12/23/13,4762,651.21,524.96
8/26/13,7/10/13,2889,205.7,117.11
7/17/12,7/19/12,944,437.2,263.33
2/8/12,3/8/12,4712,9.33,6.92
12/30/12,12/2/13,7011,437.2,263.33
1/24/14,10/3/14,2690,651.21,524.96
7/5/13,5/16/13,3629,81.73,56.67
1/19/17,1/26/17,3738,255.28,159.42
5/7/13,8/20/13,3960,437.2,263.33
1/11/14,12/15/14,7269,205.7,117.11
4/13/15,4/21/15,3670,9.33,6.92
2/28/10,3/14/10,5198,668.27,502.54
10/15/14,3/11/14,921,154.06,90.93
2/4/15,5/19/15,1939,9.33,6.92
1/20/10,1/27/10,6379,154.06,90.93
2/12/13,12/30/13,4405,154.06,90.93
2/18/16,10/3/16,3207,205.7,117.11
9/8/14,8/20/14,2011,205.7,117.11
9/2/12,2/23/12,7070,205.7,117.11
6/23/12,1/7/12,6671,651.21,524.96
10/28/16,6/11/16,6131,81.73,56.67
8/3/12,4/23/12,2798,47.45,31.79
2/26/13,4/4/13,1054,668.27,502.54
9/9/12,9/21/12,7308,255.28,159.42
2/28/16,10/4/16,5003,205.7,117.11
8/11/14,11/15/14,9614,152.58,97.44
6/28/12,7/29/12,3644,154.06,90.93
7/11/13,12/24/13,1629,154.06,90.93
4/6/13,6/30/13,5138,109.28,35.84
1/5/14,5/5/14,7769,437.2,263.33
12/22/16,12/29/16,152,154.06,90.93
3/4/15,4/24/15,4947,668.27,502.54
6/26/15,7/16/15,1848,152.58,97.44
6/23/17,8/8/17,2578,255.28,159.42
2/10/10,10/24/10,5891,109.28,35.84
7/3/16,4/18/16,2575,437.2,263.33
1/20/14,2/22/14,445,421.89,364.69
5/1/16,11/2/16,9352,668.27,502.54
1/11/15,5/12/15,6174,47.45,31.79
6/12/15,12/23/15,9823,205.7,117.11
12/31/15,1/20/16,6242,255.28,159.42
10/18/16,11/24/16,3403,651.21,524.96
11/5/16,6/30/16,6313,205.7,117.11
10/14/13,10/20/13,2006,81.73,56.67
1/13/13,2/23/13,4551,81.73,56.67
7/19/11,7/21/11,45,154.06,90.93
8/15/11,12/9/11,1620,651.21,524.96
12/8/16,8/27/16,4435,255.28,159.42
10/1/12,1/13/12,684,651.21,524.96
9/14/14,10/28/14,4590,109.28,35.84
1/21/16,2/16/16,7408,205.7,117.11
2/18/16,2/20/16,2424,651.21,524.96
5/4/12,4/19/12,9955,109.28,35.84
5/28/10,6/13/10,2350,152.58,97.44
10/21/13,10/22/13,8990,651.21,524.96
8/18/11,12/9/11,1284,437.2,263.33
11/1/13,12/2/13,7676,152.58,97.44
1/2/13,2/3/13,8638,109.28,35.84
9/26/11,9/10/11,1677,81.73,56.67
7/15/17,8/27/17,6328,651.21,524.96
8/15/13,8/29/13,9158,152.58,97.44
6/22/14,1/8/14,8767,152.58,97.44
9/15/16,3/10/16,783,109.28,35.84
8/6/10,6/19/10,2869,651.21,524.96
1/5/13,5/20/13,9716,255.28,159.42
6/11/13,12/11/13,8048,9.33,6.92
12/11/12,6/12/12,1620,437.2,263.33
4/28/12,6/6/12,6219,154.06,90.93
11/6/11,6/14/11,4660,421.89,364.69
4/7/10,9/8/10,1795,9.33,6.92
8/25/14,4/10/14,9501,205.7,117.11
5/12/14,9/1/15,1690,651.21,524.96
10/27/14,11/23/14,9305,668.27,502.54
4/21/11,5/28/11,5319,255.28,159.42
8/10/13,10/30/13,9737,109.28,35.84
7/13/17,7/18/17,4595,152.58,97.44
9/3/15,4/24/15,8961,81.73,56.67
7/15/15,7/31/15,3934,109.28,35.84
3/2/17,4/3/17,7642,9.33,6.92
9/11/11,11/17/11,247,47.45,31.79
10/29/11,11/16/11,8943,421.89,364.69
2/12/14,4/1/15,2951,668.27,502.54
2/5/16,5/21/16,8528,47.45,31.79
1/5/12,3/5/12,3959,152.58,97.44
8/8/11,9/8/11,4561,109.28,35.84
4/25/16,9/6/16,7684,255.28,159.42
10/15/10,3/12/10,7707,255.28,159.42
7/9/10,10/23/10,1041,668.27,502.54
10/21/13,10/25/13,1129,651.21,524.96
11/6/11,6/19/11,3445,255.28,159.42
11/19/14,12/16/14,492,81.73,56.67
8/10/13,11/22/13,6808,152.58,97.44
2/25/10,1/4/10,3960,109.28,35.84
9/26/14,10/28/14,5546,47.45,31.79
9/10/12,10/19/12,2196,255.28,159.42
4/22/13,4/30/13,6571,421.89,364.69
1/30/15,3/21/15,8365,255.28,159.42
4/5/10,5/28/10,9299,152.58,97.44
4/25/11,3/5/11,8130,651.21,524.96
2/27/16,11/4/16,5644,152.58,97.44
9/25/12,2/10/12,9657,651.21,524.96
8/9/12,10/20/12,19,205.7,117.11
5/14/17,11/6/17,3608,205.7,117.11
1/16/14,1/24/14,9338,205.7,117.11
7/20/17,4/8/17,3149,205.7,117.11
3/7/13,8/16/13,3016,152.58,97.44
1/31/15,2/27/15,3942,437.2,263.33
10/27/13,7/11/13,2966,651.21,524.96
1/9/13,3/10/13,4153,651.21,524.96
1/26/12,3/3/12,3603,651.21,524.96
4/28/11,11/5/11,4445,47.45,31.79
10/14/14,10/23/14,1841,437.2,263.33
12/7/15,7/26/15,7982,651.21,524.96
3/4/15,3/5/15,7093,152.58,97.44
11/12/12,1/24/13,428,81.73,56.67
3/23/16,2/4/16,1274,651.21,524.96
5/11/14,11/26/14,9948,421.89,364.69
9/10/14,7/11/14,8799,421.89,364.69
3/9/11,1/10/11,7205,154.06,90.93
6/6/17,6/29/17,6580,421.89,364.69
11/29/10,8/12/10,5364,109.28,35.84
6/27/17,10/8/17,4032,81.73,56.67
5/14/14,5/6/14,88,651.21,524.96
12/2/10,2/16/10,3069,81.73,56.67
3/8/10,9/9/10,9542,421.89,364.69
11/2/15,3/14/15,8106,437.2,263.33
9/28/12,3/11/12,4390,255.28,159.42
4/18/16,4/30/16,6055,152.58,97.44
1/3/13,3/13/13,7795,152.58,97.44
9/7/14,8/28/14,6332,668.27,502.54
8/30/13,9/24/13,5422,651.21,524.96
7/15/12,7/19/12,850,81.73,56.67
12/5/10,6/24/10,5435,205.7,117.11
12/28/14,2/1/15,4024,9.33,6.92
2/6/16,7/21/16,8498,109.28,35.84
11/4/13,5/21/13,2767,255.28,159.42
10/8/16,9/15/16,7774,154.06,90.93
10/27/15,4/11/15,6493,205.7,117.11
9/24/12,7/10/12,8929,154.06,90.93
3/25/10,4/18/10,7118,9.33,6.92
1/21/16,1/21/16,126,255.28,159.42
4/18/16,2/5/16,9053,154.06,90.93
11/1/17,9/2/17,2029,154.06,90.93
6/4/10,4/23/10,9215,668.27,502.54
7/26/15,8/9/15,7803,437.2,263.33
9/16/15,10/19/15,7016,154.06,90.93
6/18/13,6/19/13,3110,255.28,159.42
8/30/12,9/25/12,4371,154.06,90.93
4/6/14,6/26/14,6117,205.7,117.11
7/5/13,5/28/13,5694,154.06,90.93
6/18/16,7/27/16,7485,651.21,524.96
9/21/16,9/28/16,7899,81.73,56.67
4/12/11,1/19/12,380,47.45,31.79
1/29/16,6/3/16,400,651.21,524.96
6/3/10,6/3/10,466,255.28,159.42
2/27/14,3/20/14,5111,81.73,56.67
5/12/14,12/26/14,5906,255.28,159.42
12/8/15,9/19/15,6447,152.58,97.44
12/8/16,9/24/16,7365,152.58,97.44
10/31/11,11/24/11,1320,421.89,364.69
2/25/15,4/3/15,8006,651.21,524.96
3/31/11,1/5/11,9146,152.58,97.44
6/5/12,5/29/12,3494,9.33,6.92
9/8/16,1/9/16,1838,668.27,502.54
11/21/11,1/12/11,1994,421.89,364.69
5/30/17,6/25/17,3810,668.27,502.54
10/21/11,10/21/11,4168,154.06,90.93
8/17/12,9/14/12,1977,9.33,6.92
1/1/12,9/2/12,3181,651.21,524.96
6/9/10,5/10/10,5753,421.89,364.69
4/13/14,5/15/14,4697,154.06,90.93
4/30/14,6/14/14,7051,651.21,524.96
10/10/14,10/10/14,6880,651.21,524.96
1/24/13,3/15/13,285,81.73,56.67
1/7/11,7/27/11,395,81.73,56.67
6/6/13,8/7/13,2371,421.89,364.69
7/12/11,10/12/11,8405,668.27,502.54
12/4/16,5/26/16,2721,437.2,263.33
4/24/10,4/6/10,6574,437.2,263.33
10/16/16,3/12/16,3250,81.73,56.67
2/5/10,8/5/10,3066,651.21,524.96
1/15/12,4/2/12,8372,651.21,524.96
5/1/10,7/2/10,8546,651.21,524.96
2/19/16,9/4/16,5000,255.28,159.42
3/11/16,11/17/16,6177,47.45,31.79
10/14/14,11/20/14,2550,421.89,364.69
6/20/17,6/30/17,1624,651.21,524.96
9/29/10,11/13/10,2935,152.58,97.44
7/8/15,9/14/15,3051,9.33,6.92
3/24/16,3/24/16,569,109.28,35.84
10/27/16,11/27/16,1121,421.89,364.69
1/22/15,5/3/15,2366,421.89,364.69
6/22/13,7/26/13,8999,152.58,97.44
8/31/15,9/20/15,7741,154.06,90.93
7/12/14,10/12/14,2348,152.58,97.44
3/22/13,10/5/13,8607,205.7,117.11
4/28/17,7/5/17,9334,109.28,35.84
5/18/12,5/21/12,9378,651.21,524.96
3/2/11,10/3/11,619,668.27,502.54
5/2/12,2/28/12,6969,109.28,35.84
4/19/11,5/13/11,9369,9.33,6.92
3/27/13,3/4/13,793,154.06,90.93
1/3/12,3/4/12,1246,437.2,263.33
12/22/10,1/13/11,2765,47.45,31.79
5/26/17,6/28/17,4416,81.73,56.67
12/7/17,8/22/17,7298,437.2,263.33
10/6/17,6/16/17,9542,81.73,56.67
9/18/16,9/21/16,1308,81.73,56.67
3/15/12,1/5/12,9788,255.28,159.42
12/20/16,12/31/16,4207,9.33,6.92
1/24/11,5/2/11,818,437.2,263.33
6/20/13,7/17/13,7909,205.7,117.11
2/23/10,3/16/10,797,81.73,56.67
7/11/10,3/12/10,6830,109.28,35.84
1/16/15,1/23/15,388,205.7,117.11
8/31/15,10/18/15,7883,668.27,502.54
8/7/10,7/23/10,2756,668.27,502.54
11/8/13,9/24/13,481,47.45,31.79
8/7/13,9/7/13,3564,668.27,502.54
8/1/15,2/2/15,6540,421.89,364.69
8/8/12,9/14/12,977,651.21,524.96
12/18/16,8/1/17,473,47.45,31.79
11/5/13,12/5/13,5658,47.45,31.79
10/31/10,11/17/10,9194,109.28,35.84
12/9/15,10/25/15,772,255.28,159.42
8/16/12,1/9/12,2117,205.7,117.11
7/11/13,11/23/13,1984,9.33,6.92
12/7/17,12/8/17,1157,109.28,35.84
8/7/11,8/18/11,7455,152.58,97.44
1/13/15,2/20/15,727,651.21,524.96
4/15/14,4/16/14,7852,109.28,35.84
8/9/11,3/10/11,7742,81.73,56.67
1/7/14,11/8/14,6338,47.45,31.79
11/28/15,10/1/16,1615,154.06,90.93
12/15/13,12/31/13,8577,109.28,35.84
4/24/15,4/30/15,4260,668.27,502.54
10/5/16,6/27/16,2733,81.73,56.67
7/15/14,8/24/14,93,255.28,159.42
2/23/12,12/3/12,9470,651.21,524.96
7/19/12,8/21/12,6026,255.28,159.42
5/19/16,9/6/16,1952,205.7,117.11
3/16/10,4/21/10,1474,668.27,502.54
9/21/15,6/10/15,5844,255.28,159.42
5/4/10,4/17/10,8350,47.45,31.79
12/11/13,1/12/13,9309,421.89,364.69
10/5/17,6/18/17,1070,651.21,524.96
5/26/16,10/6/16,3012,668.27,502.54
4/24/15,4/27/15,6546,668.27,502.54
2/9/15,10/21/15,116,437.2,263.33
7/22/12,7/29/12,4194,668.27,502.54
6/22/13,7/18/13,6285,668.27,502.54
4/11/11,11/17/11,5926,154.06,90.93
6/7/13,7/23/13,9684,9.33,6.92
3/30/10,5/17/10,6158,651.21,524.96
10/20/13,10/24/13,977,437.2,263.33
4/18/14,7/6/14,1803,154.06,90.93
3/4/14,6/5/14,3328,255.28,159.42
12/4/17,1/5/17,2275,205.7,117.11
3/9/16,9/13/16,2400,651.21,524.96
5/19/14,9/6/14,9489,668.27,502.54
10/3/17,3/14/17,6358,668.27,502.54
3/28/10,4/26/10,7857,109.28,35.84
10/24/13,12/13/13,5866,109.28,35.84
5/24/11,6/27/11,4296,109.28,35.84
11/1/14,2/19/14,4088,154.06,90.93
2/16/11,3/24/11,8218,109.28,35.84
1/28/12,2/28/12,6689,437.2,263.33
11/3/12,4/28/12,1537,668.27,502.54
8/23/11,7/10/11,1831,651.21,524.96
8/30/11,10/15/11,8668,437.2,263.33
3/10/10,10/15/10,179,205.7,117.11
1/26/16,2/13/16,6525,668.27,502.54
11/21/16,12/19/16,4898,47.45,31.79
2/18/11,7/3/11,4522,154.06,90.93
9/17/16,9/17/16,1651,81.73,56.67
9/29/14,4/10/14,4572,205.7,117.11
11/30/13,1/18/14,8602,9.33,6.92
5/27/16,5/6/16,1091,651.21,524.96
3/2/14,7/2/14,6416,255.28,159.42
1/28/15,2/13/15,991,47.45,31.79
2/25/17,10/3/17,8257,421.89,364.69
8/15/11,12/9/11,3687,668.27,502.54
1/5/17,2/6/17,9787,651.21,524.96
10/5/16,5/18/16,1094,81.73,56.67
2/10/10,1/11/10,9173,255.28,159.42
3/20/11,4/21/11,7624,9.33,6.92
7/29/10,7/9/10,7077,437.2,263.33
4/21/10,5/30/10,193,437.2,263.33
9/18/16,9/24/16,6664,152.58,97.44
6/24/14,7/24/14,8214,651.21,524.96
10/31/15,7/12/15,3598,651.21,524.96
9/5/11,5/26/11,3601,255.28,159.42
8/14/11,8/14/11,6042,154.06,90.93
2/17/13,3/17/13,769,651.21,524.96
3/29/17,4/28/17,4662,651.21,524.96
3/21/11,3/21/11,6631,437.2,263.33
6/20/17,10/7/17,2620,81.73,56.67
1/13/14,2/17/14,602,651.21,524.96
6/2/14,6/3/14,5582,651.21,524.96
6/10/16,11/21/16,4595,255.28,159.42
2/11/10,11/25/10,1710,255.28,159.42
6/23/16,1/7/16,3025,668.27,502.54
7/4/13,5/15/13,1670,421.89,364.69
2/20/12,2/3/12,2806,668.27,502.54
9/24/13,11/10/13,8625,668.27,502.54
6/3/12,12/3/12,3351,154.06,90.93
12/1/14,1/30/14,8239,255.28,159.42
10/10/11,10/15/11,6576,651.21,524.96
4/19/10,4/29/10,8677,152.58,97.44
7/28/15,2/9/15,6893,109.28,35.84
9/9/15,5/10/15,602,205.7,117.11
12/17/14,1/22/15,1217,421.89,364.69
12/21/14,12/31/14,7179,668.27,502.54
10/20/10,10/25/10,8962,255.28,159.42
10/7/17,7/29/17,4071,255.28,159.42
1/6/13,10/6/13,2042,205.7,117.11
11/24/11,12/18/11,9443,421.89,364.69
4/21/12,5/14/12,4872,154.06,90.93
3/4/11,9/4/11,3958,255.28,159.42
1/1/14,6/2/14,4364,154.06,90.93
5/7/15,7/16/15,781,651.21,524.96
10/19/11,5/12/11,9934,205.7,117.11
4/27/11,11/6/11,5577,9.33,6.92
5/1/16,1/26/16,3495,421.89,364.69
11/7/17,8/8/17,6507,109.28,35.84
2/23/16,3/28/16,9462,154.06,90.93
2/1/17,2/14/17,4238,47.45,31.79
2/28/11,3/23/11,4748,47.45,31.79
3/28/17,4/30/17,1933,668.27,502.54
1/23/17,6/3/17,8767,154.06,90.93
6/16/12,6/22/12,5256,154.06,90.93
11/18/13,11/18/13,3434,668.27,502.54
7/12/13,10/1/14,2371,651.21,524.96
3/11/13,1/12/13,3163,651.21,524.96
11/2/12,3/28/12,3942,668.27,502.54
11/24/15,5/12/15,4868,255.28,159.42
6/23/14,7/31/14,3133,437.2,263.33
4/5/13,5/5/13,7962,668.27,502.54
5/4/15,4/22/15,5609,437.2,263.33
6/29/16,11/7/16,4360,437.2,263.33
2/8/10,5/8/10,9533,437.2,263.33
9/11/14,11/29/14,8476,9.33,6.92
8/13/13,11/9/13,5569,255.28,159.42
12/18/14,12/30/14,7224,154.06,90.93
10/9/16,10/19/16,6882,81.73,56.67
6/2/10,3/19/10,18,81.73,56.67
1/17/14,2/26/14,9136,651.21,524.96
5/8/10,8/23/10,8772,152.58,97.44
11/12/16,11/12/16,494,109.28,35.84
6/7/13,7/28/13,7900,109.28,35.84
3/11/15,8/11/15,1621,81.73,56.67
1/4/10,10/5/10,4317,109.28,35.84
8/20/10,7/10/10,5680,152.58,97.44
10/21/16,11/11/16,7435,255.28,159.42
9/17/10,10/23/10,8337,152.58,97.44
3/21/13,4/21/13,9170,651.21,524.96
11/3/12,4/18/12,7754,255.28,159.42
9/14/11,10/30/11,3936,81.73,56.67
5/2/13,3/14/13,4596,9.33,6.92
3/22/11,3/25/11,8646,47.45,31.79
4/5/13,1/6/13,2027,421.89,364.69
8/20/12,8/24/12,2714,668.27,502.54
9/20/14,7/10/14,5711,437.2,263.33
2/13/11,2/26/11,8055,81.73,56.67
12/5/13,7/6/13,3813,81.73,56.67
4/27/11,2/5/11,9083,651.21,524.96
11/11/14,12/17/14,6995,109.28,35.84
3/15/12,2/4/12,2711,81.73,56.67
7/22/11,1/9/11,8423,651.21,524.96
8/16/14,8/20/14,8354,9.33,6.92
10/25/12,12/13/12,3760,437.2,263.33
5/10/13,1/11/13,7926,437.2,263.33
11/10/14,9/11/14,1170,9.33,6.92
5/4/14,4/16/14,5841,437.2,263.33
6/14/15,6/29/15,1318,109.28,35.84
1/31/15,3/19/15,9013,81.73,56.67
9/30/14,11/19/14,7367,154.06,90.93
2/2/17,7/3/17,6855,421.89,364.69
6/22/14,3/8/14,4982,81.73,56.67
6/18/15,7/23/15,1283,47.45,31.79
3/10/10,12/10/10,2326,152.58,97.44
2/11/14,11/29/14,6710,651.21,524.96
2/10/16,8/11/16,65,255.28,159.42
9/3/14,4/28/14,50,421.89,364.69
3/28/17,4/14/17,1360,255.28,159.42
12/5/14,5/14/14,718,9.33,6.92
3/1/14,10/1/14,1878,9.33,6.92
7/18/10,5/9/10,627,81.73,56.67
6/10/10,4/11/10,9782,255.28,159.42
12/14/14,12/29/14,4191,205.7,117.11
4/2/13,2/17/13,5735,651.21,524.96
5/27/11,7/7/11,8325,9.33,6.92
6/5/13,10/5/13,2903,205.7,117.11
11/25/15,12/20/15,2442,437.2,263.33
4/24/13,4/5/13,6948,109.28,35.84
1/18/16,2/20/16,8457,152.58,97.44
11/9/16,11/9/16,6036,81.73,56.67
6/28/16,6/8/16,783,109.28,35.84
11/12/13,12/18/13,829,421.89,364.69
3/13/16,4/15/16,6335,421.89,364.69
7/15/12,10/8/12,4493,421.89,364.69
9/1/16,1/23/16,4527,205.7,117.11
4/13/14,4/25/14,2692,255.28,159.42
2/22/11,11/4/11,7273,421.89,364.69
4/20/15,5/27/15,3588,437.2,263.33
12/10/13,10/21/13,8987,154.06,90.93
12/8/13,9/13/13,7848,9.33,6.92
4/28/15,4/6/15,6582,255.28,159.42
9/14/16,10/27/16,8633,152.58,97.44
8/17/16,9/18/16,9474,668.27,502.54
3/27/11,4/21/11,1609,81.73,56.67
11/16/12,11/23/12,9576,154.06,90.93
1/16/16,1/16/16,4940,109.28,35.84
4/13/16,5/23/16,1301,651.21,524.96
1/1/14,2/20/14,9290,9.33,6.92
1/9/10,9/18/10,1566,81.73,56.67
6/8/12,8/24/12,7822,255.28,159.42
1/13/12,2/23/12,9782,109.28,35.84
8/21/13,2/9/13,6201,651.21,524.96
7/24/15,8/17/15,7865,255.28,159.42
3/29/13,3/31/13,2591,152.58,97.44
9/30/10,12/11/10,228,47.45,31.79
12/31/16,1/22/17,7655,154.06,90.93
9/13/11,10/18/11,3785,152.58,97.44
3/4/17,4/16/17,4559,81.73,56.67
9/16/11,9/18/11,7951,255.28,159.42
10/24/15,11/29/15,8966,437.2,263.33
9/7/13,7/18/13,4640,154.06,90.93
12/5/16,5/19/16,9040,154.06,90.93
3/18/14,4/17/14,8265,651.21,524.96
5/12/16,12/16/16,5445,437.2,263.33
9/27/12,9/30/12,5741,668.27,502.54
4/6/17,7/17/17,1345,651.21,524.96
7/17/17,8/17/17,6482,9.33,6.92
1/28/12,4/2/12,2405,81.73,56.67
3/21/16,4/16/16,2401,205.7,117.11
2/27/12,3/25/12,6788,47.45,31.79
3/6/13,6/17/13,7914,109.28,35.84
7/9/15,9/10/15,5159,81.73,56.67
6/9/15,11/10/15,9933,109.28,35.84
12/30/14,1/16/15,680,437.2,263.33
4/13/16,5/21/16,7874,437.2,263.33
11/24/11,5/1/12,9018,651.21,524.96
5/29/10,6/7/10,3649,255.28,159.42
1/2/10,2/24/10,8335,651.21,524.96
10/4/10,4/19/10,1674,109.28,35.84
2/26/15,12/4/15,9296,9.33,6.92
3/11/14,12/15/14,8862,47.45,31.79
11/13/11,11/13/11,5064,109.28,35.84
5/25/17,6/30/17,4627,81.73,56.67
3/3/17,4/21/17,1305,651.21,524.96
2/14/13,2/19/13,883,109.28,35.84
1/18/12,1/26/12,6181,421.89,364.69
3/26/14,4/21/14,2045,255.28,159.42
3/27/17,8/4/17,357,255.28,159.42
12/2/12,3/20/12,5027,109.28,35.84
1/7/17,5/7/17,6997,109.28,35.84
3/17/15,4/24/15,9242,437.2,263.33
8/22/14,4/10/14,1765,154.06,90.93
10/2/11,3/25/11,6604,437.2,263.33
11/5/12,6/27/12,2825,47.45,31.79
1/17/12,2/14/12,1528,154.06,90.93
3/31/16,5/18/16,842,81.73,56.67
12/21/16,1/22/17,928,437.2,263.33
1/26/11,9/3/11,8979,205.7,117.11
10/8/11,8/14/11,4218,109.28,35.84
10/10/13,11/15/13,2900,47.45,31.79
3/11/13,11/14/13,3311,255.28,159.42
1/12/12,1/19/13,769,651.21,524.96
6/3/13,2/4/13,2622,81.73,56.67
1/31/14,2/13/14,3251,668.27,502.54
2/27/16,7/4/16,9065,152.58,97.44
11/3/17,5/4/17,3509,154.06,90.93
1/21/16,1/21/16,2055,255.28,159.42
6/19/16,7/29/16,7208,255.28,159.42
8/19/15,12/9/15,3504,47.45,31.79
11/8/15,8/9/15,2511,152.58,97.44
12/15/11,1/20/12,7828,154.06,90.93
8/21/12,12/9/12,83,205.7,117.11
7/24/11,8/16/11,1939,421.89,364.69
1/14/15,1/30/15,3088,154.06,90.93
4/23/15,5/31/15,5253,109.28,35.84
1/13/17,1/30/17,7190,437.2,263.33
10/21/10,4/12/10,9684,152.58,97.44
5/10/14,11/21/14,552,47.45,31.79
6/4/10,4/23/10,9644,651.21,524.96
10/20/13,11/24/13,3840,421.89,364.69
8/26/12,10/10/12,2050,255.28,159.42
1/27/14,2/24/14,216,152.58,97.44
3/4/11,2/5/11,6313,668.27,502.54
5/17/17,6/18/17,5346,154.06,90.93
5/24/16,6/26/16,4350,9.33,6.92
6/4/12,4/23/12,7392,9.33,6.92
7/28/17,8/30/17,572,81.73,56.67
11/25/11,11/12/11,7020,109.28,35.84
1/10/13,10/17/13,1896,47.45,31.79
11/3/16,3/4/16,7393,421.89,364.69
12/5/13,6/17/13,7735,421.89,364.69
10/22/11,6/12/11,4175,205.7,117.11
1/8/11,4/8/11,2,437.2,263.33
3/1/10,5/1/10,5531,109.28,35.84
1/20/13,7/3/13,3112,81.73,56.67
5/22/16,6/18/16,2124,81.73,56.67
1/10/16,2/10/16,3979,437.2,263.33
9/20/15,3/10/15,7119,9.33,6.92
